"","variable","value"
"1","GP",0.989010989010989
"2","GP",1
"3","GP",1
"4","GP",0.98876404494382
"5","GP",0.988372093023256
"6","GP",0.988636363636364
"7","GP",0.989690721649484
"8","GP",0.975903614457831
"9","GP",1
"10","GP",0.481927710843373
"11","GP",1
"12","GP",0.977011494252873
"13","GP",0.987654320987654
"14","GP",0.764705882352941
"15","GP",0.988095238095238
"16","GP",0.98876404494382
"17","GP",0.975903614457831
"18","GP",0.988372093023256
"19","GP",0.989010989010989
"20","GP",0.965116279069767
"21","GP",0.987341772151899
"22","GP",0.977777777777778
"23","GP",0.988505747126437
"24","GP",1.08450704225352
"25","GP",0.98936170212766
"26","GP",0.988888888888889
"27","GP",0.981651376146789
"28","GP",1
"29","GP",0.98876404494382
"30","GP",0.97979797979798
"31","GP",0.988095238095238
"32","GP",0.58695652173913
"33","GP",1
"34","GP",0.9875
"35","GP",0.927710843373494
"36","GP",0.978021978021978
"37","GP",0.782051282051282
"38","GP",0.980769230769231
"39","GP",0.974358974358974
"40","GP",0.987341772151899
"41","GP",0.988372093023256
"42","GP",0.988095238095238
"43","GP",0.98780487804878
"44","GP",0.823529411764706
"45","GP",1.1978021978022
"46","GP",0.988372093023256
"47","GP",0.988372093023256
"48","GP",0.97979797979798
"49","GP",1
"50","GP",0.978947368421053
"51","GP",0.48707179514537
"52","GP",0.985294117647059
"53","GP",1
"54","GP",0.989247311827957
"55","GP",0.978494623655914
"56","GP",0.989130434782609
"57","GP",0.977011494252873
"58","GP",0.485460500901482
"59","GP",0.978723404255319
"60","GP",0.98
"61","GP",0.566666666666667
"62","GP",0.9875
"63","GP",0.981651376146789
"64","GP",0.484536082474227
"65","GP",0.506172839506173
"66","GP",0.98936170212766
"67","GP",0.98876404494382
"68","GP",0.990291262135922
"69","GP",1
"70","GP",0.988888888888889
"71","GP",0.986301369863014
"72","GP",0.979166666666667
"73","GP",0.899173268519999
"74","GP",0.988235294117647
"75","GP",0.823529411764706
"76","GP",0.506849315068493
"77","GP",0.970588235294118
"78","GP",0.987951807228916
"79","GP",0.980392156862745
"80","GP",0.987012987012987
"81","GP",0.978723404255319
"82","GP",1
"83","GP",1
"84","GP",0.988505747126437
"85","GP",0.98780487804878
"86","GP",1.02380952380952
"87","GP",0.471264367816092
"88","GP",0.988235294117647
"89","GP",0.988888888888889
"90","GP",0.988372093023256
"91","GP",0.989010989010989
"92","GP",0.988636363636364
"93","GP",0.987179487179487
"94","GP",1
"95","GP",0.98
"96","GP",0.979591836734694
"97","GP",0.98876404494382
"98","GP",0.987179487179487
"99","GP",0.98876404494382
"100","GP",0.987341772151899
"201","MLE",0.945054945054945
"202","MLE",0.948453608247423
"203","MLE",0.907894736842105
"204","MLE",0.932584269662921
"205","MLE",0.930232558139535
"206","MLE",0.931818181818182
"207","MLE",0.938144329896907
"208","MLE",0.927710843373494
"209","MLE",0.942528735632184
"210","MLE",0.939759036144578
"211","MLE",0.941176470588235
"212","MLE",0.931034482758621
"213","MLE",0.925925925925926
"214","MLE",0.911764705882353
"215","MLE",0.928571428571428
"216","MLE",0.932584269662921
"217","MLE",0.927710843373494
"218","MLE",0.930232558139535
"219","MLE",0.945054945054945
"220","MLE",0.930232558139535
"221","MLE",0.911392405063291
"222","MLE",0.944444444444445
"223","MLE",0.931034482758621
"224","MLE",0.929577464788732
"225","MLE",0.946808510638298
"226","MLE",0.933333333333333
"227","MLE",0.954128440366973
"228","MLE",0.904761904761905
"229","MLE",0.921348314606742
"230","MLE",0.94949494949495
"231","MLE",0.928571428571428
"232","MLE",0.945652173913043
"233","MLE",0.9375
"234","MLE",0.9375
"235","MLE",0.91566265060241
"236","MLE",0.934065934065934
"237","MLE",0.935897435897436
"238","MLE",0.942307692307692
